,username,tweet
253,netflixturkiye,@seliinuredi İYİ MİSİN???
254,netflixturkiye,İntikamı bile tarz. #TheCrown https://t.co/18Q4UCCtuM
255,netflixturkiye,1899 izlerken her 10 dakikada bir tahminlerim. https://t.co/AdLjoz7ADo
256,netflixturkiye,@harunkkaslan 🤯
257,netflixturkiye,1899’U BİR GECEDE BİTİRMEMELİYİM. 1899’U BİR GECEDE BİTİRMEMELİYİM. 1899’U BİR GECEDE BİTİRMEMELİYİM. 1899’U BİR GECEDE BİTİRMEMELİYİM. 1899’U BİR GECEDE BİTİRMEMELİYİM.
258,netflixturkiye,@edaebrem Ne demek patronun 1899 izlemiyor?!
259,netflixturkiye,"@killthequeeen asjgfsdhfj bitirince ses et, merak ederim seni"
260,netflixturkiye,"@askoculuk123 Ben de konuşamam, sadece sinyal."
261,netflixturkiye,@barzoberat Hepimizden daha uzun süredir bekleyen biri.
262,netflixturkiye,@expelliamuss Kerberos'a hoş geldin Damla.
263,netflixturkiye,Kerberos limandan ayrıldı. 1899 şimdi sadece Netflix'te. https://t.co/EmW20iz7yf
264,netflixturkiye,@kurttotem Bugünün kazananı sensin.
265,netflixturkiye,Böyle hatırlanmak güzel. #Kal https://t.co/PGcCDq61kZ
266,netflixturkiye,@sumeyy3ren Stars Hollow’a gidip kahve içmeden ölürsem üzülürüm.
267,netflixturkiye,90'lar çocuğu olduğunu bir dizi ile anlat.
268,netflixturkiye,Kalmak isteyen zaten bir şekilde... #Kal https://t.co/aac2MMNPYp
269,netflixturkiye,Ben adminliği bırakıyorum... https://t.co/pm1swAfhTV
270,netflixturkiye,Ben hala bu sahnedeyim. #TheCrown https://t.co/ik71wgwvwB
271,netflixturkiye,Patronuma sabah işe geç kalış sebeplerimi anlatıyorumdur. https://t.co/cN9AasamIT
272,netflixturkiye,@serin_papatyaa @bbcanim Pazartesi günü geliyor🌞
273,netflixturkiye,1899 https://t.co/KAA5lArr2E
274,netflixturkiye,"O gider, sen aşkla kalırsın. #Kal şimdi sadece Netflix'te. https://t.co/yDPGjjGW3u"
275,netflixturkiye,The Witcher'dan 1200 yıl öncesine ait yeni bir macera. The Witcher: Blood Origin 25 Aralık'ta sadece Netflix'te. https://t.co/Nn8b8cQvKG
276,netflixturkiye,Enola Holmes 2 izlemek bana ne kazandırdı: https://t.co/jtisGPenbB
